batting_team,bowling_team,city,current_score,balls_bowled,balls_left,wickets_left,crr,runs_in_remaining_ball
Otago,Central Districts,Napier,0,1,119,10,0.0,181
Otago,Central Districts,Napier,1,2,118,10,3.0,180
Otago,Central Districts,Napier,1,3,117,10,2.0,180
Otago,Central Districts,Napier,5,4,116,10,7.5,176
Otago,Central Districts,Napier,5,5,115,10,6.0,176
Otago,Central Districts,Napier,5,6,114,10,5.0,176
Otago,Central Districts,Napier,9,7,113,10,7.71,172
Otago,Central Districts,Napier,9,8,112,10,6.75,172
Otago,Central Districts,Napier,9,9,111,10,6.0,172
Otago,Central Districts,Napier,10,10,110,10,6.0,171
Otago,Central Districts,Napier,10,11,109,10,5.45,171
Otago,Central Districts,Napier,11,12,108,10,5.5,170
Otago,Central Districts,Napier,15,13,107,10,6.92,166
Otago,Central Districts,Napier,15,14,106,10,6.43,166
Otago,Central Districts,Napier,19,15,105,10,7.6,162
Otago,Central Districts,Napier,20,16,104,10,7.5,161
Otago,Central Districts,Napier,21,17,103,10,7.41,160
Otago,Central Districts,Napier,25,18,102,10,8.33,156
Otago,Central Districts,Napier,26,19,101,10,8.21,155
Otago,Central Districts,Napier,26,20,100,10,7.8,155
Otago,Central Districts,Napier,26,21,99,10,7.43,155
Otago,Central Districts,Napier,26,22,98,10,7.09,155
Otago,Central Districts,Napier,32,23,97,10,8.35,149
Otago,Central Districts,Napier,33,24,96,10,8.25,148
Otago,Central Districts,Napier,37,25,95,10,8.88,144
Otago,Central Districts,Napier,38,26,94,10,8.77,143
Otago,Central Districts,Napier,39,27,93,10,8.67,142
Otago,Central Districts,Napier,40,28,92,10,8.57,141
Otago,Central Districts,Napier,41,29,91,10,8.48,140
Otago,Central Districts,Napier,41,30,90,10,8.2,140
Otago,Central Districts,Napier,45,31,89,10,8.71,136
Otago,Central Districts,Napier,45,31,89,9,8.71,136
Otago,Central Districts,Napier,45,32,88,9,8.44,136
Otago,Central Districts,Napier,46,33,87,9,8.36,135
Otago,Central Districts,Napier,46,34,86,9,8.12,135
