batting_team,bowling_team,city,current_score,target_runs,runs_left,balls_left,wickets_left,crr,rrr,result
Central Districts,Otago,Napier,4,182,178,119,10,24.0,8.97,0
Central Districts,Otago,Napier,5,182,177,118,10,15.0,9.0,0
Central Districts,Otago,Napier,5,182,177,117,10,10.0,9.08,0
Central Districts,Otago,Napier,5,182,177,116,10,7.5,9.16,0
Central Districts,Otago,Napier,5,182,177,115,10,6.0,9.23,0
Central Districts,Otago,Napier,9,182,173,114,10,9.0,9.11,0
Central Districts,Otago,Napier,9,182,173,113,9,7.71,9.19,0
Central Districts,Otago,Napier,10,182,172,112,9,7.5,9.21,0
Central Districts,Otago,Napier,11,182,171,111,9,7.33,9.24,0
Central Districts,Otago,Napier,11,182,171,110,9,6.6,9.33,0
Central Districts,Otago,Napier,11,182,171,109,9,6.0,9.41,0
Central Districts,Otago,Napier,11,182,171,108,9,5.5,9.5,0
Central Districts,Otago,Napier,11,182,171,107,9,5.08,9.59,0
Central Districts,Otago,Napier,15,182,167,107,9,6.92,9.36,0
Central Districts,Otago,Napier,16,182,166,106,9,6.86,9.4,0
Central Districts,Otago,Napier,18,182,164,105,9,7.2,9.37,0
Central Districts,Otago,Napier,18,182,164,104,9,6.75,9.46,0
Central Districts,Otago,Napier,24,182,158,103,9,8.47,9.2,0
Central Districts,Otago,Napier,24,182,158,102,9,8.0,9.29,0
Central Districts,Otago,Napier,24,182,158,101,9,7.58,9.39,0
Central Districts,Otago,Napier,26,182,156,100,9,7.8,9.36,0
Central Districts,Otago,Napier,27,182,155,99,9,7.71,9.39,0
Central Districts,Otago,Napier,27,182,155,98,9,7.36,9.49,0
Central Districts,Otago,Napier,28,182,154,97,9,7.3,9.53,0
Central Districts,Otago,Napier,29,182,153,96,9,7.25,9.56,0
Central Districts,Otago,Napier,33,182,149,95,9,7.92,9.41,0
Central Districts,Otago,Napier,33,182,149,95,8,7.92,9.41,0
Central Districts,Otago,Napier,37,182,145,94,8,8.54,9.26,0
Central Districts,Otago,Napier,38,182,144,93,8,8.44,9.29,0
Central Districts,Otago,Napier,38,182,144,92,8,8.14,9.39,0
Central Districts,Otago,Napier,38,182,144,91,8,7.86,9.49,0
Central Districts,Otago,Napier,39,182,143,90,8,7.8,9.53,0
Central Districts,Otago,Napier,40,182,142,89,8,7.74,9.57,0
Central Districts,Otago,Napier,40,182,142,88,8,7.5,9.68,0
Central Districts,Otago,Napier,40,182,142,87,8,7.27,9.79,0
Central Districts,Otago,Napier,40,182,142,86,8,7.06,9.91,0
Central Districts,Otago,Napier,40,182,142,85,8,6.86,10.02,0
Central Districts,Otago,Napier,40,182,142,84,8,6.67,10.14,0
Central Districts,Otago,Napier,42,182,140,83,8,6.81,10.12,0
Central Districts,Otago,Napier,43,182,139,82,8,6.79,10.17,0
Central Districts,Otago,Napier,44,182,138,81,8,6.77,10.22,0
Central Districts,Otago,Napier,45,182,137,80,8,6.75,10.28,0
Central Districts,Otago,Napier,45,182,137,79,7,6.59,10.41,0
Central Districts,Otago,Napier,45,182,137,78,7,6.43,10.54,0
Central Districts,Otago,Napier,47,182,135,77,7,6.56,10.52,0
Central Districts,Otago,Napier,47,182,135,76,7,6.41,10.66,0
Central Districts,Otago,Napier,48,182,134,75,7,6.4,10.72,0
Central Districts,Otago,Napier,48,182,134,74,7,6.26,10.86,0
Central Districts,Otago,Napier,48,182,134,73,7,6.13,11.01,0
Central Districts,Otago,Napier,48,182,134,72,7,6.0,11.17,0
Central Districts,Otago,Napier,49,182,133,71,7,6.0,11.24,0
Central Districts,Otago,Napier,50,182,132,70,7,6.0,11.31,0
Central Districts,Otago,Napier,50,182,132,69,7,5.88,11.48,0
Central Districts,Otago,Napier,50,182,132,68,7,5.77,11.65,0
Central Districts,Otago,Napier,50,182,132,67,7,5.66,11.82,0
Central Districts,Otago,Napier,51,182,131,66,7,5.67,11.91,0
Central Districts,Otago,Napier,52,182,130,65,7,5.67,12.0,0
Central Districts,Otago,Napier,53,182,129,64,7,5.68,12.09,0
Central Districts,Otago,Napier,53,182,129,63,7,5.58,12.29,0
Central Districts,Otago,Napier,54,182,128,62,7,5.59,12.39,0
Central Districts,Otago,Napier,55,182,127,61,7,5.59,12.49,0
Central Districts,Otago,Napier,56,182,126,60,7,5.6,12.6,0
Central Districts,Otago,Napier,57,182,125,59,7,5.61,12.71,0
Central Districts,Otago,Napier,58,182,124,58,7,5.61,12.83,0
Central Districts,Otago,Napier,59,182,123,59,7,5.8,12.51,0
Central Districts,Otago,Napier,60,182,122,58,7,5.81,12.62,0
Central Districts,Otago,Napier,61,182,121,57,7,5.81,12.74,0
Central Districts,Otago,Napier,61,182,121,56,7,5.72,12.96,0
Central Districts,Otago,Napier,63,182,119,55,7,5.82,12.98,0
Central Districts,Otago,Napier,64,182,118,54,7,5.82,13.11,0
Central Districts,Otago,Napier,64,182,118,53,6,5.73,13.36,0
Central Districts,Otago,Napier,65,182,117,52,6,5.74,13.5,0
Central Districts,Otago,Napier,65,182,117,51,6,5.65,13.76,0
Central Districts,Otago,Napier,66,182,116,50,6,5.66,13.92,0
Central Districts,Otago,Napier,67,182,115,49,6,5.66,14.08,0
Central Districts,Otago,Napier,67,182,115,48,6,5.58,14.38,0
Central Districts,Otago,Napier,68,182,114,47,6,5.59,14.55,0
Central Districts,Otago,Napier,69,182,113,47,6,5.67,14.43,0
Central Districts,Otago,Napier,73,182,109,46,6,5.92,14.22,0
Central Districts,Otago,Napier,74,182,108,45,6,5.92,14.4,0
Central Districts,Otago,Napier,75,182,107,44,6,5.92,14.59,0
Central Districts,Otago,Napier,76,182,106,43,6,5.92,14.79,0
Central Districts,Otago,Napier,77,182,105,42,6,5.92,15.0,0
Central Districts,Otago,Napier,78,182,104,41,6,5.92,15.22,0
Central Districts,Otago,Napier,78,182,104,40,5,5.85,15.6,0
Central Districts,Otago,Napier,79,182,103,39,5,5.85,15.85,0
Central Districts,Otago,Napier,79,182,103,38,4,5.78,16.26,0
Central Districts,Otago,Napier,79,182,103,37,4,5.71,16.7,0
Central Districts,Otago,Napier,79,182,103,36,4,5.64,17.17,0
Central Districts,Otago,Napier,79,182,103,35,4,5.58,17.66,0
Central Districts,Otago,Napier,81,182,101,34,4,5.65,17.82,0
Central Districts,Otago,Napier,82,182,100,33,4,5.66,18.18,0
Central Districts,Otago,Napier,82,182,100,32,4,5.59,18.75,0
Central Districts,Otago,Napier,83,182,99,31,4,5.6,19.16,0
Central Districts,Otago,Napier,84,182,98,30,4,5.6,19.6,0
Central Districts,Otago,Napier,85,182,97,29,4,5.6,20.07,0
Central Districts,Otago,Napier,86,182,96,29,4,5.67,19.86,0
Central Districts,Otago,Napier,87,182,95,28,4,5.67,20.36,0
Central Districts,Otago,Napier,91,182,91,27,4,5.87,20.22,0
Central Districts,Otago,Napier,91,182,91,26,4,5.81,21.0,0
Central Districts,Otago,Napier,91,182,91,25,4,5.75,21.84,0
Central Districts,Otago,Napier,91,182,91,24,3,5.69,22.75,0
Central Districts,Otago,Napier,92,182,90,23,3,5.69,23.48,0
Central Districts,Otago,Napier,92,182,90,22,3,5.63,24.55,0
Central Districts,Otago,Napier,93,182,89,21,3,5.64,25.43,0
Central Districts,Otago,Napier,94,182,88,20,3,5.64,26.4,0
Central Districts,Otago,Napier,94,182,88,19,3,5.58,27.79,0
Central Districts,Otago,Napier,96,182,86,18,3,5.65,28.67,0
Central Districts,Otago,Napier,97,182,85,17,3,5.65,30.0,0
Central Districts,Otago,Napier,98,182,84,17,3,5.71,29.65,0
Central Districts,Otago,Napier,102,182,80,16,3,5.88,30.0,0
Central Districts,Otago,Napier,102,182,80,15,3,5.83,32.0,0
Central Districts,Otago,Napier,104,182,78,14,3,5.89,33.43,0
Central Districts,Otago,Napier,104,182,78,13,3,5.83,36.0,0
Central Districts,Otago,Napier,104,182,78,12,2,5.78,39.0,0
Central Districts,Otago,Napier,105,182,77,11,2,5.78,42.0,0
Central Districts,Otago,Napier,106,182,76,10,2,5.78,45.6,0
Central Districts,Otago,Napier,106,182,76,9,2,5.73,50.67,0
Central Districts,Otago,Napier,106,182,76,8,2,5.68,57.0,0
Central Districts,Otago,Napier,107,182,75,7,2,5.68,64.29,0
Central Districts,Otago,Napier,108,182,74,6,2,5.68,74.0,0
Central Districts,Otago,Napier,109,182,73,5,1,5.69,87.6,0
Central Districts,Otago,Napier,109,182,73,5,1,5.69,87.6,0
Central Districts,Otago,Napier,109,182,73,4,0,5.64,109.5,0
Northern Districts,Wellington,Wellington,0,184,184,119,10,0.0,9.28,0
Northern Districts,Wellington,Wellington,0,184,184,118,10,0.0,9.36,0
Northern Districts,Wellington,Wellington,0,184,184,117,10,0.0,9.44,0
Northern Districts,Wellington,Wellington,1,184,183,116,10,1.5,9.47,0
Northern Districts,Wellington,Wellington,2,184,182,115,10,2.4,9.5,0
Northern Districts,Wellington,Wellington,3,184,181,114,10,3.0,9.53,0
Northern Districts,Wellington,Wellington,3,184,181,113,10,2.57,9.61,0
Northern Districts,Wellington,Wellington,3,184,181,112,10,2.25,9.7,0
Northern Districts,Wellington,Wellington,7,184,177,111,10,4.67,9.57,0
Northern Districts,Wellington,Wellington,8,184,176,110,10,4.8,9.6,0
Northern Districts,Wellington,Wellington,8,184,176,109,10,4.36,9.69,0
Northern Districts,Wellington,Wellington,8,184,176,108,10,4.0,9.78,0
Northern Districts,Wellington,Wellington,12,184,172,107,10,5.54,9.64,0
Northern Districts,Wellington,Wellington,12,184,172,106,10,5.14,9.74,0
Northern Districts,Wellington,Wellington,13,184,171,105,10,5.2,9.77,0
Northern Districts,Wellington,Wellington,14,184,170,104,10,5.25,9.81,0
Northern Districts,Wellington,Wellington,18,184,166,103,10,6.35,9.67,0
Northern Districts,Wellington,Wellington,19,184,165,102,10,6.33,9.71,0
Northern Districts,Wellington,Wellington,20,184,164,101,10,6.32,9.74,0
Northern Districts,Wellington,Wellington,21,184,163,100,10,6.3,9.78,0
Northern Districts,Wellington,Wellington,21,184,163,99,10,6.0,9.88,0
Northern Districts,Wellington,Wellington,25,184,159,98,10,6.82,9.73,0
Northern Districts,Wellington,Wellington,25,184,159,97,10,6.52,9.84,0
