batting_team,bowling_team,city,current_score,balls_bowled,balls_left,wickets_left,crr,runs_in_remaining_ball
Central Districts,Auckland,Auckland,0,1,119,10,0.0,192
Central Districts,Auckland,Auckland,4,2,118,10,12.0,188
Central Districts,Auckland,Auckland,6,3,117,10,12.0,186
Central Districts,Auckland,Auckland,10,4,116,10,15.0,182
Central Districts,Auckland,Auckland,14,5,115,10,16.8,178
Central Districts,Auckland,Auckland,14,6,114,10,14.0,178
Central Districts,Auckland,Auckland,18,7,113,10,15.43,174
Central Districts,Auckland,Auckland,20,7,113,10,17.14,172
Central Districts,Auckland,Auckland,20,8,112,10,15.0,172
Central Districts,Auckland,Auckland,20,9,111,10,13.33,172
Central Districts,Auckland,Auckland,24,10,110,10,14.4,168
Central Districts,Auckland,Auckland,28,11,109,10,15.27,164
Central Districts,Auckland,Auckland,32,12,108,10,16.0,160
Central Districts,Auckland,Auckland,33,13,107,10,15.23,159
Central Districts,Auckland,Auckland,33,14,106,10,14.14,159
Central Districts,Auckland,Auckland,34,15,105,10,13.6,158
Central Districts,Auckland,Auckland,35,16,104,10,13.12,157
Central Districts,Auckland,Auckland,35,17,103,10,12.35,157
Central Districts,Auckland,Auckland,36,18,102,10,12.0,156
Central Districts,Auckland,Auckland,37,19,101,10,11.68,155
Central Districts,Auckland,Auckland,37,20,100,10,11.1,155
Central Districts,Auckland,Auckland,38,21,99,10,10.86,154
Central Districts,Auckland,Auckland,42,22,98,10,11.45,150
Central Districts,Auckland,Auckland,42,23,97,10,10.96,150
Central Districts,Auckland,Auckland,42,24,96,10,10.5,150
Central Districts,Auckland,Auckland,43,25,95,10,10.32,149
Central Districts,Auckland,Auckland,43,26,94,10,9.92,149
Central Districts,Auckland,Auckland,43,27,93,10,9.56,149
Central Districts,Auckland,Auckland,44,28,92,10,9.43,148
Central Districts,Auckland,Auckland,48,29,91,10,9.93,144
Central Districts,Auckland,Auckland,54,30,90,10,10.8,138
Central Districts,Auckland,Auckland,54,31,89,10,10.45,138
Central Districts,Auckland,Auckland,54,32,88,10,10.12,138
Central Districts,Auckland,Auckland,55,33,87,10,10.0,137
Central Districts,Auckland,Auckland,59,34,86,10,10.41,133
Central Districts,Auckland,Auckland,63,35,85,10,10.8,129
Central Districts,Auckland,Auckland,69,36,84,10,11.5,123
Central Districts,Auckland,Auckland,70,37,83,10,11.35,122
Central Districts,Auckland,Auckland,70,38,82,10,11.05,122
Central Districts,Auckland,Auckland,70,39,81,9,10.77,122
Central Districts,Auckland,Auckland,71,40,80,9,10.65,121
Central Districts,Auckland,Auckland,72,41,79,9,10.54,120
Central Districts,Auckland,Auckland,73,42,78,9,10.43,119
Central Districts,Auckland,Auckland,74,43,77,9,10.33,118
Central Districts,Auckland,Auckland,75,43,77,9,10.47,117
Central Districts,Auckland,Auckland,75,44,76,9,10.23,117
Central Districts,Auckland,Auckland,76,45,75,9,10.13,116
Central Districts,Auckland,Auckland,77,46,74,9,10.04,115
Central Districts,Auckland,Auckland,83,47,73,9,10.6,109
Central Districts,Auckland,Auckland,84,48,72,9,10.5,108
Central Districts,Auckland,Auckland,88,49,71,9,10.78,104
Central Districts,Auckland,Auckland,89,50,70,9,10.68,103
Central Districts,Auckland,Auckland,90,51,69,9,10.59,102
Central Districts,Auckland,Auckland,90,52,68,9,10.38,102
Central Districts,Auckland,Auckland,91,53,67,9,10.3,101
Central Districts,Auckland,Auckland,91,54,66,9,10.11,101
Central Districts,Auckland,Auckland,97,55,65,9,10.58,95
Central Districts,Auckland,Auckland,101,55,65,9,11.02,91
Central Districts,Auckland,Auckland,101,56,64,9,10.82,91
Central Districts,Auckland,Auckland,102,57,63,9,10.74,90
Central Districts,Auckland,Auckland,102,58,62,9,10.55,90
Central Districts,Auckland,Auckland,103,59,61,9,10.47,89
Central Districts,Auckland,Auckland,103,60,60,9,10.3,89
Central Districts,Auckland,Auckland,104,61,59,9,10.23,88
Central Districts,Auckland,Auckland,105,62,58,9,10.16,87
Central Districts,Auckland,Auckland,109,63,57,9,10.38,83
Central Districts,Auckland,Auckland,109,64,56,9,10.22,83
Central Districts,Auckland,Auckland,109,65,55,9,10.06,83
Central Districts,Auckland,Auckland,109,66,54,8,9.91,83
Central Districts,Auckland,Auckland,110,67,53,8,9.85,82
Central Districts,Auckland,Auckland,110,68,52,8,9.71,82
Central Districts,Auckland,Auckland,111,69,51,8,9.65,81
Central Districts,Auckland,Auckland,111,70,50,7,9.51,81
Central Districts,Auckland,Auckland,111,71,49,7,9.38,81
Central Districts,Auckland,Auckland,111,72,48,7,9.25,81
Central Districts,Auckland,Auckland,117,73,47,7,9.62,75
Central Districts,Auckland,Auckland,118,74,46,7,9.57,74
Central Districts,Auckland,Auckland,118,75,45,7,9.44,74
Central Districts,Auckland,Auckland,119,76,44,7,9.39,73
Central Districts,Auckland,Auckland,123,77,43,7,9.58,69
Central Districts,Auckland,Auckland,124,78,42,7,9.54,68
Central Districts,Auckland,Auckland,126,79,41,7,9.57,66
Central Districts,Auckland,Auckland,127,80,40,7,9.52,65
Central Districts,Auckland,Auckland,128,81,39,7,9.48,64
Central Districts,Auckland,Auckland,129,82,38,7,9.44,63
Central Districts,Auckland,Auckland,131,83,37,7,9.47,61
Central Districts,Auckland,Auckland,132,84,36,7,9.43,60
Central Districts,Auckland,Auckland,136,85,35,7,9.6,56
Central Districts,Auckland,Auckland,137,86,34,7,9.56,55
Central Districts,Auckland,Auckland,139,87,33,7,9.59,53
Central Districts,Auckland,Auckland,140,88,32,7,9.55,52
Central Districts,Auckland,Auckland,140,89,31,7,9.44,52
Central Districts,Auckland,Auckland,141,90,30,7,9.4,51
Central Districts,Auckland,Auckland,145,91,29,7,9.56,47
Central Districts,Auckland,Auckland,151,92,28,7,9.85,41
Central Districts,Auckland,Auckland,155,93,27,7,10.0,37
Central Districts,Auckland,Auckland,156,94,26,7,9.96,36
Central Districts,Auckland,Auckland,156,95,25,7,9.85,36
Central Districts,Auckland,Auckland,156,96,24,6,9.75,36
