batting_team,bowling_team,city,runs_y,result_first_innings
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Central Districts,Auckland,Auckland,192,0
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Canterbury,Otago,Christchurch,217,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
Northern Districts,Auckland,Mount Maunganui,214,1
