batting_team,bowling_team,city,current_score,target_runs,runs_left,balls_left,wickets_left,crr,rrr,result
Auckland,Central Districts,Auckland,0,193,193,119,10,0.0,9.73,1
Auckland,Central Districts,Auckland,6,193,187,118,10,18.0,9.51,1
Auckland,Central Districts,Auckland,11,193,182,117,10,22.0,9.33,1
Auckland,Central Districts,Auckland,11,193,182,116,10,16.5,9.41,1
Auckland,Central Districts,Auckland,15,193,178,115,10,18.0,9.29,1
Auckland,Central Districts,Auckland,15,193,178,114,10,15.0,9.37,1
Auckland,Central Districts,Auckland,21,193,172,113,10,18.0,9.13,1
Auckland,Central Districts,Auckland,25,193,168,113,10,21.43,8.92,1
Auckland,Central Districts,Auckland,29,193,164,112,10,21.75,8.79,1
Auckland,Central Districts,Auckland,29,193,164,111,10,19.33,8.86,1
Auckland,Central Districts,Auckland,33,193,160,110,10,19.8,8.73,1
Auckland,Central Districts,Auckland,33,193,160,109,10,18.0,8.81,1
Auckland,Central Districts,Auckland,33,193,160,108,10,16.5,8.89,1
Auckland,Central Districts,Auckland,33,193,160,107,10,15.23,8.97,1
Auckland,Central Districts,Auckland,37,193,156,106,10,15.86,8.83,1
Auckland,Central Districts,Auckland,41,193,152,105,10,16.4,8.69,1
Auckland,Central Districts,Auckland,41,193,152,104,10,15.38,8.77,1
Auckland,Central Districts,Auckland,45,193,148,103,10,15.88,8.62,1
Auckland,Central Districts,Auckland,46,193,147,102,10,15.33,8.65,1
Auckland,Central Districts,Auckland,50,193,143,101,10,15.79,8.5,1
Auckland,Central Districts,Auckland,51,193,142,100,10,15.3,8.52,1
Auckland,Central Districts,Auckland,51,193,142,99,10,14.57,8.61,1
Auckland,Central Districts,Auckland,55,193,138,98,10,15.0,8.45,1
Auckland,Central Districts,Auckland,56,193,137,97,10,14.61,8.47,1
Auckland,Central Districts,Auckland,56,193,137,96,10,14.0,8.56,1
Auckland,Central Districts,Auckland,60,193,133,95,10,14.4,8.4,1
Auckland,Central Districts,Auckland,64,193,129,94,10,14.77,8.23,1
Auckland,Central Districts,Auckland,70,193,123,93,10,15.56,7.94,1
Auckland,Central Districts,Auckland,71,193,122,92,10,15.21,7.96,1
Auckland,Central Districts,Auckland,73,193,120,91,10,15.1,7.91,1
Auckland,Central Districts,Auckland,74,193,119,90,10,14.8,7.93,1
Auckland,Central Districts,Auckland,80,193,113,89,10,15.48,7.62,1
Auckland,Central Districts,Auckland,80,193,113,88,9,15.0,7.7,1
Auckland,Central Districts,Auckland,80,193,113,87,9,14.55,7.79,1
Auckland,Central Districts,Auckland,80,193,113,86,9,14.12,7.88,1
Auckland,Central Districts,Auckland,84,193,109,85,9,14.4,7.69,1
Auckland,Central Districts,Auckland,85,193,108,84,9,14.17,7.71,1
Auckland,Central Districts,Auckland,85,193,108,83,9,13.78,7.81,1
Auckland,Central Districts,Auckland,86,193,107,82,9,13.58,7.83,1
Auckland,Central Districts,Auckland,90,193,103,81,9,13.85,7.63,1
Auckland,Central Districts,Auckland,91,193,102,80,9,13.65,7.65,1
Auckland,Central Districts,Auckland,91,193,102,79,8,13.32,7.75,1
Auckland,Central Districts,Auckland,91,193,102,78,8,13.0,7.85,1
Auckland,Central Districts,Auckland,91,193,102,77,7,12.7,7.95,1
Auckland,Central Districts,Auckland,91,193,102,77,6,12.7,7.95,1
Auckland,Central Districts,Auckland,92,193,101,76,6,12.55,7.97,1
Auckland,Central Districts,Auckland,93,193,100,75,6,12.4,8.0,1
Auckland,Central Districts,Auckland,94,193,99,74,6,12.26,8.03,1
Auckland,Central Districts,Auckland,94,193,99,73,6,12.0,8.14,1
Auckland,Central Districts,Auckland,95,193,98,72,6,11.88,8.17,1
Auckland,Central Districts,Auckland,96,193,97,71,6,11.76,8.2,1
Auckland,Central Districts,Auckland,97,193,96,70,6,11.64,8.23,1
Auckland,Central Districts,Auckland,97,193,96,69,6,11.41,8.35,1
Auckland,Central Districts,Auckland,99,193,94,68,6,11.42,8.29,1
Auckland,Central Districts,Auckland,100,193,93,67,6,11.32,8.33,1
Auckland,Central Districts,Auckland,101,193,92,66,6,11.22,8.36,1
Auckland,Central Districts,Auckland,101,193,92,65,6,11.02,8.49,1
Auckland,Central Districts,Auckland,101,193,92,64,6,10.82,8.62,1
Auckland,Central Districts,Auckland,105,193,88,65,6,11.45,8.12,1
Auckland,Central Districts,Auckland,109,193,84,64,6,11.68,7.88,1
Auckland,Central Districts,Auckland,110,193,83,63,6,11.58,7.9,1
Auckland,Central Districts,Auckland,110,193,83,62,6,11.38,8.03,1
Auckland,Central Districts,Auckland,114,193,79,61,6,11.59,7.77,1
Auckland,Central Districts,Auckland,115,193,78,60,6,11.5,7.8,1
Auckland,Central Districts,Auckland,116,193,77,59,6,11.41,7.83,1
Auckland,Central Districts,Auckland,117,193,76,58,6,11.32,7.86,1
Auckland,Central Districts,Auckland,121,193,72,57,6,11.52,7.58,1
Auckland,Central Districts,Auckland,121,193,72,56,6,11.34,7.71,1
Auckland,Central Districts,Auckland,125,193,68,55,6,11.54,7.42,1
Auckland,Central Districts,Auckland,125,193,68,54,6,11.36,7.56,1
Auckland,Central Districts,Auckland,125,193,68,53,6,11.19,7.7,1
Auckland,Central Districts,Auckland,127,193,66,52,6,11.21,7.62,1
Auckland,Central Districts,Auckland,128,193,65,51,6,11.13,7.65,1
Auckland,Central Districts,Auckland,130,193,63,50,6,11.14,7.56,1
Auckland,Central Districts,Auckland,131,193,62,49,6,11.07,7.59,1
Auckland,Central Districts,Auckland,132,193,61,48,6,11.0,7.62,1
Auckland,Central Districts,Auckland,136,193,57,47,6,11.18,7.28,1
Auckland,Central Districts,Auckland,136,193,57,46,6,11.03,7.43,1
Auckland,Central Districts,Auckland,137,193,56,45,6,10.96,7.47,1
Auckland,Central Districts,Auckland,141,193,52,44,6,11.13,7.09,1
Auckland,Central Districts,Auckland,147,193,46,43,6,11.45,6.42,1
Auckland,Central Districts,Auckland,151,193,42,42,6,11.62,6.0,1
Auckland,Central Districts,Auckland,153,193,40,41,6,11.62,5.85,1
Auckland,Central Districts,Auckland,153,193,40,40,6,11.48,6.0,1
Auckland,Central Districts,Auckland,157,193,36,39,6,11.63,5.54,1
Auckland,Central Districts,Auckland,158,193,35,38,6,11.56,5.53,1
Auckland,Central Districts,Auckland,158,193,35,37,6,11.42,5.68,1
Auckland,Central Districts,Auckland,159,193,34,36,6,11.36,5.67,1
Auckland,Central Districts,Auckland,160,193,33,35,6,11.29,5.66,1
Auckland,Central Districts,Auckland,160,193,33,34,6,11.16,5.82,1
