batting_team,bowling_team,city,current_score,balls_bowled,balls_left,wickets_left,crr,runs_in_remaining_ball
Western Storm,Southern Vipers,Southampton,1,1,119,10,6.0,69
Western Storm,Southern Vipers,Southampton,2,2,118,10,6.0,68
Western Storm,Southern Vipers,Southampton,2,3,117,10,4.0,68
Western Storm,Southern Vipers,Southampton,3,4,116,10,4.5,67
Western Storm,Southern Vipers,Southampton,3,5,115,10,3.6,67
Western Storm,Southern Vipers,Southampton,4,6,114,10,4.0,66
Western Storm,Southern Vipers,Southampton,4,7,113,10,3.43,66
Western Storm,Southern Vipers,Southampton,4,8,112,10,3.0,66
Western Storm,Southern Vipers,Southampton,4,7,113,10,3.43,66
Western Storm,Southern Vipers,Southampton,4,8,112,10,3.0,66
Western Storm,Southern Vipers,Southampton,4,9,111,10,2.67,66
Western Storm,Southern Vipers,Southampton,5,10,110,10,3.0,65
Western Storm,Southern Vipers,Southampton,5,11,109,10,2.73,65
Western Storm,Southern Vipers,Southampton,6,12,108,10,3.0,64
Western Storm,Southern Vipers,Southampton,7,13,107,10,3.23,63
Western Storm,Southern Vipers,Southampton,8,14,106,10,3.43,62
Western Storm,Southern Vipers,Southampton,9,15,105,10,3.6,61
Western Storm,Southern Vipers,Southampton,10,16,104,10,3.75,60
Western Storm,Southern Vipers,Southampton,10,17,103,9,3.53,60
Western Storm,Southern Vipers,Southampton,11,18,102,9,3.67,59
Western Storm,Southern Vipers,Southampton,11,19,101,9,3.47,59
Western Storm,Southern Vipers,Southampton,11,20,100,9,3.3,59
Western Storm,Southern Vipers,Southampton,12,19,101,9,3.79,58
Western Storm,Southern Vipers,Southampton,12,20,100,9,3.6,58
Western Storm,Southern Vipers,Southampton,13,21,99,9,3.71,57
Western Storm,Southern Vipers,Southampton,13,22,98,8,3.55,57
Western Storm,Southern Vipers,Southampton,13,23,97,8,3.39,57
Western Storm,Southern Vipers,Southampton,13,24,96,8,3.25,57
Western Storm,Southern Vipers,Southampton,13,25,95,8,3.12,57
Western Storm,Southern Vipers,Southampton,13,26,94,8,3.0,57
Western Storm,Southern Vipers,Southampton,13,27,93,8,2.89,57
Western Storm,Southern Vipers,Southampton,13,28,92,8,2.79,57
Western Storm,Southern Vipers,Southampton,14,29,91,8,2.9,56
Western Storm,Southern Vipers,Southampton,15,30,90,8,3.0,55
Western Storm,Southern Vipers,Southampton,15,31,89,8,2.9,55
Western Storm,Southern Vipers,Southampton,16,32,88,8,3.0,54
Western Storm,Southern Vipers,Southampton,17,33,87,8,3.09,53
Western Storm,Southern Vipers,Southampton,18,34,86,8,3.18,52
Western Storm,Southern Vipers,Southampton,18,35,85,8,3.09,52
Western Storm,Southern Vipers,Southampton,19,36,84,8,3.17,51
Western Storm,Southern Vipers,Southampton,20,37,83,8,3.24,50
Western Storm,Southern Vipers,Southampton,20,38,82,8,3.16,50
Western Storm,Southern Vipers,Southampton,21,39,81,8,3.23,49
