batting_team,bowling_team,city,runs_y,result_first_innings
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
Western Storm,Southern Vipers,Southampton,70,0
