batting_team,bowling_team,city,current_score,target_runs,runs_left,balls_left,wickets_left,crr,rrr,result
Southern Vipers,Western Storm,Southampton,0,71,71,119,10,0.0,3.58,1
Southern Vipers,Western Storm,Southampton,0,71,71,118,10,0.0,3.61,1
Southern Vipers,Western Storm,Southampton,0,71,71,117,10,0.0,3.64,1
Southern Vipers,Western Storm,Southampton,0,71,71,116,10,0.0,3.67,1
Southern Vipers,Western Storm,Southampton,0,71,71,115,10,0.0,3.7,1
Southern Vipers,Western Storm,Southampton,0,71,71,114,10,0.0,3.74,1
Southern Vipers,Western Storm,Southampton,0,71,71,113,10,0.0,3.77,1
Southern Vipers,Western Storm,Southampton,2,71,69,112,10,1.5,3.7,1
Southern Vipers,Western Storm,Southampton,3,71,68,111,10,2.0,3.68,1
Southern Vipers,Western Storm,Southampton,3,71,68,110,10,1.8,3.71,1
Southern Vipers,Western Storm,Southampton,3,71,68,109,10,1.64,3.74,1
Southern Vipers,Western Storm,Southampton,4,71,67,108,10,2.0,3.72,1
Southern Vipers,Western Storm,Southampton,4,71,67,107,10,1.85,3.76,1
Southern Vipers,Western Storm,Southampton,8,71,63,107,10,3.69,3.53,1
Southern Vipers,Western Storm,Southampton,8,71,63,106,10,3.43,3.57,1
Southern Vipers,Western Storm,Southampton,12,71,59,105,10,4.8,3.37,1
Southern Vipers,Western Storm,Southampton,12,71,59,104,10,4.5,3.4,1
Southern Vipers,Western Storm,Southampton,12,71,59,103,10,4.24,3.44,1
Southern Vipers,Western Storm,Southampton,13,71,58,102,10,4.33,3.41,1
Southern Vipers,Western Storm,Southampton,13,71,58,101,10,4.11,3.45,1
Southern Vipers,Western Storm,Southampton,14,71,57,100,10,4.2,3.42,1
Southern Vipers,Western Storm,Southampton,18,71,53,99,10,5.14,3.21,1
Southern Vipers,Western Storm,Southampton,22,71,49,98,10,6.0,3.0,1
Southern Vipers,Western Storm,Southampton,25,71,46,97,10,6.52,2.85,1
Southern Vipers,Western Storm,Southampton,29,71,42,96,10,7.25,2.62,1
Southern Vipers,Western Storm,Southampton,34,71,37,95,10,8.16,2.34,1
Southern Vipers,Western Storm,Southampton,41,71,30,94,10,9.46,1.91,1
Southern Vipers,Western Storm,Southampton,46,71,25,93,10,10.22,1.61,1
Southern Vipers,Western Storm,Southampton,47,71,24,101,10,14.84,1.43,1
Southern Vipers,Western Storm,Southampton,48,71,23,95,10,11.52,1.45,1
Southern Vipers,Western Storm,Southampton,49,71,22,94,10,11.31,1.4,1
Southern Vipers,Western Storm,Southampton,50,71,21,93,10,11.11,1.35,1
Southern Vipers,Western Storm,Southampton,54,71,17,92,10,11.57,1.11,1
Southern Vipers,Western Storm,Southampton,54,71,17,91,10,11.17,1.12,1
Southern Vipers,Western Storm,Southampton,54,71,17,90,10,10.8,1.13,1
Southern Vipers,Western Storm,Southampton,54,71,17,89,10,10.45,1.15,1
Southern Vipers,Western Storm,Southampton,54,71,17,88,10,10.12,1.16,1
Southern Vipers,Western Storm,Southampton,55,71,16,87,10,10.0,1.1,1
Southern Vipers,Western Storm,Southampton,55,71,16,86,9,9.71,1.12,1
Southern Vipers,Western Storm,Southampton,55,71,16,85,9,9.43,1.13,1
Southern Vipers,Western Storm,Southampton,55,71,16,84,9,9.17,1.14,1
Southern Vipers,Western Storm,Southampton,55,71,16,83,9,8.92,1.16,1
Southern Vipers,Western Storm,Southampton,56,71,15,82,9,8.84,1.1,1
Southern Vipers,Western Storm,Southampton,56,71,15,81,9,8.62,1.11,1
Southern Vipers,Western Storm,Southampton,57,71,14,80,9,8.55,1.05,1
Southern Vipers,Western Storm,Southampton,57,71,14,79,9,8.34,1.06,1
Southern Vipers,Western Storm,Southampton,57,71,14,78,9,8.14,1.08,1
Southern Vipers,Western Storm,Southampton,57,71,14,77,9,7.95,1.09,1
Southern Vipers,Western Storm,Southampton,58,71,13,76,9,7.91,1.03,1
Southern Vipers,Western Storm,Southampton,58,71,13,75,9,7.73,1.04,1
Southern Vipers,Western Storm,Southampton,59,71,12,74,9,7.7,0.97,1
Southern Vipers,Western Storm,Southampton,59,71,12,73,9,7.53,0.99,1
Southern Vipers,Western Storm,Southampton,59,71,12,72,9,7.38,1.0,1
Southern Vipers,Western Storm,Southampton,60,71,11,71,9,7.35,0.93,1
Southern Vipers,Western Storm,Southampton,61,71,10,70,9,7.32,0.86,1
Southern Vipers,Western Storm,Southampton,65,71,6,69,9,7.65,0.52,1
Southern Vipers,Western Storm,Southampton,66,71,5,68,9,7.62,0.44,1
Southern Vipers,Western Storm,Southampton,67,71,4,67,9,7.58,0.36,1
Southern Vipers,Western Storm,Southampton,73,71,-2,66,9,8.11,-0.18,1
Lancashire Thunder,Yorkshire Diamonds,Leeds,1,163,162,119,10,6.0,8.17,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,1,163,162,118,10,3.0,8.24,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,1,163,162,117,10,2.0,8.31,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,1,163,162,116,10,1.5,8.38,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,3,163,160,115,10,3.6,8.35,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,7,163,156,114,10,7.0,8.21,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,8,163,155,113,10,6.86,8.23,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,8,163,155,112,10,6.0,8.3,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,8,163,155,111,10,5.33,8.38,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,8,163,155,110,10,4.8,8.45,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,10,163,153,109,10,5.45,8.42,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,10,163,153,108,10,5.0,8.5,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,10,163,153,107,10,4.62,8.58,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,11,163,152,106,10,4.71,8.6,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,11,163,152,105,10,4.4,8.69,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,15,163,148,104,10,5.62,8.54,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,19,163,144,103,10,6.71,8.39,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,21,163,142,102,10,7.0,8.35,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,25,163,138,101,10,7.89,8.2,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,25,163,138,100,10,7.5,8.28,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,26,163,137,99,10,7.43,8.3,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,26,163,137,98,10,7.09,8.39,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,26,163,137,97,10,6.78,8.47,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,26,163,137,96,10,6.5,8.56,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,26,163,137,95,10,6.24,8.65,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,26,163,137,94,10,6.0,8.74,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,26,163,137,93,10,5.78,8.84,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,27,163,136,92,10,5.79,8.87,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,28,163,135,91,10,5.79,8.9,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,28,163,135,90,10,5.6,9.0,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,29,163,134,89,10,5.61,9.03,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,33,163,130,88,10,6.19,8.86,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,33,163,130,87,10,6.0,8.97,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,33,163,130,86,10,5.82,9.07,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,34,163,129,85,10,5.83,9.11,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,34,163,129,84,9,5.67,9.21,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,35,163,128,83,9,5.68,9.25,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,36,163,127,82,9,5.68,9.29,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,36,163,127,81,9,5.54,9.41,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,37,163,126,80,9,5.55,9.45,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,38,163,125,79,9,5.56,9.49,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,39,163,124,78,9,5.57,9.54,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,43,163,120,77,9,6.0,9.35,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,44,163,119,76,9,6.0,9.39,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,48,163,115,77,9,6.7,8.96,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,48,163,115,76,9,6.55,9.08,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,49,163,114,75,9,6.53,9.12,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,50,163,113,74,9,6.52,9.16,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,50,163,113,73,9,6.38,9.29,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,51,163,112,72,9,6.38,9.33,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,55,163,108,71,9,6.73,9.13,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,56,163,107,70,9,6.72,9.17,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,57,163,106,69,9,6.71,9.22,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,58,163,105,68,9,6.69,9.26,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,58,163,105,67,9,6.57,9.4,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,59,163,104,66,9,6.56,9.45,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,59,163,104,65,8,6.44,9.6,0
Lancashire Thunder,Yorkshire Diamonds,Leeds,60,163,103,64,8,6.43,9.66,0
